pcode,lga_name,state,area_km2,center_lat,center_lon
NG002001,Demsa,Adamawa,1567.94031018,9.42100058,12.06157633
NG002002,Fufore,Adamawa,4730.05574397,9.24745304,12.75535627
NG002003,Ganye,Adamawa,2094.7955223,8.4377437,11.95467575
NG002004,Gombi,Adamawa,2163.60652361,10.21915318,12.51448619
NG002005,Girei,Adamawa,1193.35105585,9.420436,12.4602011
NG002006,Guyuk,Adamawa,688.35355238,9.84910211,11.91949713
NG002007,Hong,Adamawa,2660.48996798,10.2707596,13.00010662
NG002008,Jada,Adamawa,2603.03560697,8.70004456,12.3273812
NG002009,Lamurde,Adamawa,1105.84684892,9.55365323,11.70146581
NG002010,Madagali,Adamawa,830.71985738,10.79923587,13.48153142
NG002011,Maiha,Adamawa,1356.49528639,9.87445135,13.14138238
NG002012,Mayo-Belwa,Adamawa,2108.98572093,8.90750157,12.04408717
NG002013,Michika,Adamawa,810.6550601,10.57853096,13.38418884
NG002014,Mubi North,Adamawa,753.43803364,10.35920323,13.36565401
NG002015,Mubi South,Adamawa,502.72169789,10.17145175,13.31206443
NG002016,Numan,Adamawa,834.53038746,9.4514926,11.84109083
NG002017,Shelleng,Adamawa,1205.74751535,9.90315409,12.10576373
NG002018,Song,Adamawa,4038.6730727,9.84108887,12.62071102
NG002019,Toungo,Adamawa,5577.64967242,7.90223263,11.87424111
NG002020,Yola North,Adamawa,63.53436193,9.25845592,12.44019945
NG002021,Yola South,Adamawa,931.04804287,9.27204822,12.26059176
NG008001,Abadam,Borno,3916.25182832,13.39477626,13.27446584
NG008002,Askira/Uba,Borno,2499.53612164,10.63665327,12.84627077
NG008003,Bama,Borno,5017.65311567,11.54127516,14.15376471
NG008004,Bayo,Borno,946.85578936,10.44724674,11.70467597
NG008005,Biu,Borno,3282.29751951,10.80412308,12.12250666
NG008006,Chibok,Borno,1519.50322987,10.85561848,12.82267256
NG008007,Damboa,Borno,5823.80543317,11.13675964,12.73952517
NG008008,Dikwa,Borno,1890.87164009,11.9347496,14.08375686
NG008009,Gubio,Borno,2622.98713717,12.70878619,12.76046365
NG008010,Guzamala,Borno,2515.50653685,12.83552524,13.31916597
NG008011,Gwoza,Borno,2932.51884638,11.17720502,13.63155455
NG008012,Hawul,Borno,2012.94906619,10.4574272,12.29458291
NG008013,Jere,Borno,843.30495343,11.9269352,13.18697004
NG008014,Kaga,Borno,2574.67598829,11.58789019,12.48620647
NG008015,Kala/Balge,Borno,1877.90511553,12.05785224,14.48633529
NG008016,Konduga,Borno,5958.93280391,11.68675991,13.18348175
NG008017,Kukawa,Borno,4914.65899475,13.04582499,13.71780366
NG008018,Kwaya Kusar,Borno,747.32071413,10.43090965,11.90649934
NG008019,Mafa,Borno,2853.49121834,12.04636513,13.54125075
NG008020,Magumeri,Borno,4728.67184528,12.22527489,12.71196525
NG008021,Maiduguri,Borno,139.86577147,11.83470577,13.13357488
NG008022,Marte,Borno,2958.21541153,12.40644618,13.85787997
NG008023,Mobbar,Borno,2704.71289905,13.0551951,12.62656649
NG008024,Monguno,Borno,1892.15572864,12.52256165,13.53364576
NG008025,Ngala,Borno,1443.40551744,12.29337425,14.19902988
NG008026,Nganzai,Borno,2313.45444874,12.45905285,13.10732304
NG008027,Shani,Borno,1225.08909485,10.19307369,11.95264793
NG036001,Bade,Yobe,833.60875373,12.78435332,10.67716815
NG036002,Bursari,Yobe,3816.70213428,12.69552181,11.4493189
NG036003,Damaturu,Yobe,2343.70251948,11.82132984,12.01902809
NG036004,Fika,Yobe,2151.52880193,11.35100978,11.18297729
NG036005,Fune,Yobe,5475.00365598,11.88115959,11.41165814
NG036006,Geidam,Yobe,3840.76594591,12.69485247,12.14033454
NG036007,Gujba,Yobe,3468.99320714,11.36383012,11.87769078
NG036008,Gulani,Yobe,2129.77541982,10.89249304,11.61491403
NG036009,Jakusko,Yobe,3529.61777858,12.3711745,11.00417973
NG036010,Karasuwa,Yobe,1332.05229765,12.99797807,10.69159384
NG036011,Machina,Yobe,1279.90281608,13.0400599,10.05924403
NG036012,Nangere,Yobe,1043.94310588,11.80785234,11.0456302
NG036013,Nguru,Yobe,816.64905163,12.97793488,10.3827601
NG036014,Potiskum,Yobe,575.99007689,11.72968866,11.16086368
NG036015,Tarmua,Yobe,4525.37792635,12.22054982,11.8956434
NG036016,Yunusari,Yobe,3815.34084545,13.11156862,11.72402708
NG036017,Yusufari,Yobe,3864.56087097,13.15951119,10.54321129
