pcode,lga_name,state,events,fatalities,conflict_score_norm
NG002001,Demsa,Adamawa,8,12,0.016359918200409
NG002002,Fufore,Adamawa,17,20,0.034764826175869123
NG002003,Ganye,Adamawa,6,8,0.012269938650306749
NG002004,Gombi,Adamawa,10,45,0.02044989775051125
NG002005,Girei,Adamawa,12,8,0.024539877300613498
NG002006,Guyuk,Adamawa,5,37,0.010224948875255624
NG002007,Hong,Adamawa,42,166,0.08588957055214724
NG002008,Jada,Adamawa,5,3,0.010224948875255624
NG002009,Lamurde,Adamawa,24,97,0.049079754601226995
NG002010,Madagali,Adamawa,58,149,0.11860940695296524
NG002011,Maiha,Adamawa,8,19,0.016359918200409
NG002012,Mayo-Belwa,Adamawa,7,2,0.014314928425357873
NG002013,Michika,Adamawa,9,12,0.018404907975460124
NG002014,Mubi North,Adamawa,9,3,0.018404907975460124
NG002015,Mubi South,Adamawa,3,4,0.006134969325153374
NG002016,Numan,Adamawa,11,21,0.022494887525562373
NG002017,Shelleng,Adamawa,6,4,0.012269938650306749
NG002018,Song,Adamawa,17,17,0.034764826175869123
NG002019,Toungo,Adamawa,5,8,0.010224948875255624
NG002020,Yola North,Adamawa,12,5,0.024539877300613498
NG002021,Yola South,Adamawa,49,34,0.10020449897750511
NG008001,Abadam,Borno,203,1560,0.41513292433537835
NG008002,Askira/Uba,Borno,72,258,0.147239263803681
NG008003,Bama,Borno,425,2625,0.869120654396728
NG008004,Bayo,Borno,4,22,0.0081799591002045
NG008005,Biu,Borno,112,356,0.22903885480572597
NG008006,Chibok,Borno,74,265,0.15132924335378323
NG008007,Damboa,Borno,353,1688,0.721881390593047
NG008008,Dikwa,Borno,137,665,0.28016359918200406
NG008009,Gubio,Borno,58,344,0.11860940695296524
NG008010,Guzamala,Borno,40,180,0.081799591002045
NG008011,Gwoza,Borno,489,2694,1.0
NG008012,Hawul,Borno,27,73,0.05521472392638037
NG008013,Jere,Borno,75,112,0.15337423312883436
NG008014,Kaga,Borno,110,434,0.2249488752556237
NG008015,Kala/Balge,Borno,28,183,0.05725971370143149
NG008016,Konduga,Borno,304,1362,0.621676891615542
NG008017,Kukawa,Borno,171,1547,0.3496932515337423
NG008018,Kwaya Kusar,Borno,4,13,0.0081799591002045
NG008019,Mafa,Borno,154,593,0.3149284253578732
NG008020,Magumeri,Borno,87,275,0.17791411042944785
NG008021,Maiduguri,Borno,155,516,0.3169734151329243
NG008022,Marte,Borno,111,1601,0.22699386503067484
NG008023,Mobbar,Borno,164,793,0.33537832310838445
NG008024,Monguno,Borno,161,615,0.3292433537832311
NG008025,Ngala,Borno,176,813,0.35991820040899797
NG008026,Nganzai,Borno,88,361,0.17995910020449898
NG008027,Shani,Borno,7,10,0.014314928425357873
NG036001,Bade,Yobe,12,16,0.024539877300613498
NG036002,Bursari,Yobe,16,50,0.032719836400818
NG036003,Damaturu,Yobe,37,102,0.07566462167689161
NG036004,Fika,Yobe,8,34,0.016359918200409
NG036005,Fune,Yobe,11,4,0.022494887525562373
NG036006,Geidam,Yobe,37,249,0.07566462167689161
NG036007,Gujba,Yobe,210,589,0.4294478527607362
NG036008,Gulani,Yobe,0,0,0.0
NG036009,Jakusko,Yobe,4,2,0.0081799591002045
NG036010,Karasuwa,Yobe,4,3,0.0081799591002045
NG036011,Machina,Yobe,0,0,0.0
NG036012,Nangere,Yobe,1,1,0.002044989775051125
NG036013,Nguru,Yobe,0,0,0.0
NG036014,Potiskum,Yobe,3,5,0.006134969325153374
NG036015,Tarmua,Yobe,31,81,0.06339468302658487
NG036016,Yunusari,Yobe,30,65,0.06134969325153374
NG036017,Yusufari,Yobe,1,0,0.002044989775051125
