name,iso,id,country,admin_level,category,range_type,range,population,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,population_share,population_interval,population_interval_share
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,5000,191211,114803,3.19,114803,3.19,3.22,191211,3.22
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,10000,377456,226778,6.3,111975,3.11,6.35,186245,3.13
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,15000,622640,373997,10.4,147219,4.09,10.47,245184,4.12
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,20000,1084265,654001,18.18,280004,7.78,18.24,461625,7.77
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,25000,1384570,835019,23.21,181018,5.03,23.29,300305,5.05
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,30000,1859207,1121190,31.17,286171,7.96,31.27,474637,7.98
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,35000,2309855,1393513,38.74,272323,7.57,38.85,450648,7.58
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,40000,2754190,1662331,46.21,268818,7.47,46.33,444335,7.47
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,45000,3113192,1880193,52.27,217862,6.06,52.37,359002,6.04
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,50000,3480942,2102066,58.44,221873,6.17,58.55,367750,6.19
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,5000,11775409,5178440,91.7,5178440,91.7,92.24,11775409,92.24
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,10000,12164246,5367210,95.04,188770,3.34,95.29,388837,3.05
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,15000,12290148,5429057,96.13,61847,1.1,96.27,125902,0.99
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,20000,12354766,5458934,96.66,29877,0.53,96.78,64618,0.51
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,25000,12384012,5473497,96.92,14563,0.26,97.01,29246,0.23
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,30000,12408643,5485691,97.14,12194,0.22,97.2,24631,0.19
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,35000,12420634,5491631,97.24,5940,0.11,97.3,11991,0.09
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,40000,12428583,5495466,97.31,3835,0.07,97.36,7949,0.06
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,45000,12436343,5499326,97.38,3860,0.07,97.42,7760,0.06
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,50000,12441213,5501765,97.42,2439,0.04,97.46,4870,0.04
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,5000,382402,209399,11.05,209399,11.05,11.49,382402,11.49
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,10000,908731,493461,26.04,284062,14.99,27.3,526329,15.81
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,15000,1380628,753100,39.74,259639,13.7,41.47,471897,14.18
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,20000,1631251,895836,47.28,142736,7.53,49.0,250623,7.53
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,25000,1856684,1027382,54.22,131546,6.94,55.78,225433,6.77
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,30000,1968774,1092105,57.64,64723,3.42,59.14,112090,3.37
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,35000,2084300,1160020,61.22,67915,3.58,62.61,115526,3.47
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,40000,2162479,1206099,63.65,46079,2.43,64.96,78179,2.35
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,45000,2308141,1291292,68.15,85193,4.5,69.34,145662,4.38
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,50000,2432728,1365114,72.04,73822,3.9,73.08,124587,3.74
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,5000,24298,14813,0.51,14813,0.51,0.51,24298,0.51
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,10000,29352,17936,0.61,3123,0.11,0.61,5054,0.11
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,15000,45411,27718,0.95,9782,0.33,0.95,16059,0.34
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,20000,59325,36338,1.24,8620,0.29,1.24,13914,0.29
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,25000,103303,63500,2.17,27162,0.93,2.16,43978,0.92
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,30000,133214,81991,2.8,18491,0.63,2.79,29911,0.63
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,35000,172430,106063,3.62,24072,0.82,3.61,39216,0.82
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,40000,180237,110875,3.79,4812,0.16,3.77,7807,0.16
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,45000,191904,118076,4.03,7201,0.25,4.01,11667,0.24
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,50000,230441,141994,4.85,23918,0.82,4.82,38537,0.81
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,5000,261789,134067,4.3,134067,4.3,4.34,261789,4.34
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,10000,576369,296565,9.52,162498,5.22,9.55,314580,5.21
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,15000,945436,488355,15.68,191790,6.16,15.66,369067,6.11
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,20000,1448344,750507,24.09,262152,8.42,24.0,502908,8.33
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,25000,2169677,1125474,36.13,374967,12.04,35.95,721333,11.95
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,30000,2859760,1478970,47.48,353496,11.35,47.38,690083,11.43
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,35000,3349359,1729591,55.52,250621,8.05,55.49,489599,8.11
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,40000,3807785,1964820,63.07,235229,7.55,63.09,458426,7.6
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,45000,4161644,2148098,68.96,183278,5.88,68.95,353859,5.86
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,50000,4427624,2285994,73.38,137896,4.43,73.35,265980,4.41
Benue,NG-BE,27671186B36221103315467,NGA,ADM1,education,DISTANCE,5000,423558,248508,6.92,248508,6.92,7.09,423558,7.09
